api_id,name,category_large,category_medium,transport,method,url,req_body_fields,resp_body_fields
usa20920,미국주식 시가대비 등락률상위(주식/업종),미국주식,순위정보,REST,POST,/api/us/rkinfo,8,1
usa20921,미국주식 시가대비 등락률상위(ETF),미국주식,순위정보,REST,POST,/api/us/rkinfo,8,1
usa20922,미국주식 시가대비 등락률상위(관심종목),미국주식,순위정보,REST,POST,/api/us/rkinfo,8,1
usa20930,미국주식 가격급등락(주식/업종),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
usa20931,미국주식 가격급등락(ETF),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
usa20932,미국주식 가격급등락(관심종목),미국주식,종목정보,REST,POST,/api/us/stkinfo,9,1
usa20940,미국주식 누적 등락률 상위(주식/업종),미국주식,순위정보,REST,POST,/api/us/rkinfo,11,1
usa20941,미국주식 누적 등락률 상위(ETF),미국주식,순위정보,REST,POST,/api/us/rkinfo,11,1
usa20960,미국주식 전일 거래상위(주식/업종),미국주식,순위정보,REST,POST,/api/us/rkinfo,4,1
usa20961,미국주식 전일 거래상위(ETF),미국주식,순위정보,REST,POST,/api/us/rkinfo,4,1
usa20970,미국주식 고가/저가 접근(주식/업종),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
usa20971,미국주식 고가/저가 접근(ETF),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
usa20972,미국주식 고가/저가 접근(관심종목),미국주식,종목정보,REST,POST,/api/us/stkinfo,9,1
usa21670,미국주식 일별계좌수익률현황,미국주식,계좌,REST,POST,/api/us/acnt,2,1
usa21680,미국주식 월별계좌수익률현황,미국주식,계좌,REST,POST,/api/us/acnt,2,1
usa21690,미국주식 연도별계좌수익률현황,미국주식,계좌,REST,POST,/api/us/acnt,2,1
usa21730,미국주식 일별종목수익률현황,미국주식,계좌,REST,POST,/api/us/acnt,4,1
usa21731,미국주식 월별종목수익률현황,미국주식,계좌,REST,POST,/api/us/acnt,4,1
usa21732,미국주식 연도별종목수익률현황,미국주식,계좌,REST,POST,/api/us/acnt,4,1
usa23000,미국주식 업종별 기간별 수익률 조회,미국주식,업종,REST,POST,/api/us/sect,2,1
usa23100,미국주식 업종별 등락률 상위/하위 조회,미국주식,업종,REST,POST,/api/us/sect,3,1
usa23400,미국주식 거래량갱신(주식/업종),미국주식,종목정보,REST,POST,/api/us/stkinfo,8,1
usa23401,미국주식 거래량갱신(ETF),미국주식,종목정보,REST,POST,/api/us/stkinfo,8,1
usa23402,미국주식 거래량갱신(관심종목),미국주식,종목정보,REST,POST,/api/us/stkinfo,7,1
usa24100,미국주식 신고가/신저가(주식/업종),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
usa24101,미국주식 신고가/신저가(ETF),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
usa24110,미국주식 최고최저가대비 상승하락(주식/업종),미국주식,순위정보,REST,POST,/api/us/rkinfo,9,1
usa24111,미국주식 최고최저가대비 상승하락(ETF),미국주식,순위정보,REST,POST,/api/us/rkinfo,9,1
usa24120,미국주식 특정일자 상승/하락 (주식/업종),미국주식,순위정보,REST,POST,/api/us/rkinfo,9,1
usa24121,미국주식 특정일자 상승/하락(ETF),미국주식,순위정보,REST,POST,/api/us/rkinfo,9,1
usa24140,미국주식 갭상승/갭하락(주식/업종),미국주식,종목정보,REST,POST,/api/us/stkinfo,10,1
